text,aspect_words,labels
"Needs Power and Mouse Cable to Plug in back instead of side, In the way of operating a mouse in small area.",mouse,0
The only problem is a lack of screen resolutions!,screen resolutions,0
"I have found it very easy to use, very imformative, wonder alerts and tutorials making it very easy for someone like me who is not exactly technologically advanced to learn to use the various features and programs.",features,2
The screen is gorgeous - yummy good.,screen,2
" Also, the battery does not last very long at all.",battery,0
"I love windows 7 but i can't give Toshiba any credit for that, unless y'all get serious about ergonomics and making required connections less obtrusive i will be looking to different manufacturer next time.",ergonomics,0
Now when I order I did not go full scale for the webcam or full keyboard I wanted something for basics of being easy to carry when I use crutchs or wheelchair and with a backpack laptop bag.,keyboard,1
"Externally the keys on my keyboard are falling off, after a few uses the paint is rubbing off the button below the mouse pad and where the heals of my hands sit, and the screen has a terrible glare.",screen,0
" Then I've fixed the DC jack (inside the unit), rewired the DC jack to the OUTside of the laptop, replaced the power brick.",DC jack,1
They say that this will invalidate the warranty on the hard drive (I don't really understand why but anyway).,hard drive,1
So what if the laptops/mobile phones look chic and cool? The after sales support is terrible.,look,2
" The hard drive crashed as well, and I had to buy a new  power cord.",hard drive,0
Now when I order I did not go full scale for the webcam or full keyboard I wanted something for basics of being easy to carry when I use crutchs or wheelchair and with a backpack laptop bag.,carry,2
"I got it back again and was told the motherboard had been replaced, so I was now on the SECOND motherboard within 3 months.",motherboard,0
"the headphone and mic jack are in front of touch-pad making the touch-pad hard to use when using headphones/mic, not to mention the laptop was designed for right handed person.",touch-pad,0
" We have had numerous problems with Vista, such as Adobe Flash player just quits and has to be uninstalled and then reinsalled, Internet Explore just quits and you lose whatever you were working on, also, the same Windows update has appeared on this computer since we got it and has been updated probably 400 times, the same update.",Adobe Flash player,0
The OS is still as fast as the day that the laptop was purchased and continues to run flawlessly.,OS,2
"Yes, they cost more, but they more than make up for it in speed, construction quality, and longevity.",longevity,2
Do yourself a favor and invest in a few external harddrives if you are planning on purchasing this laptop.,external harddrives,0
"Only other thing is that if you are using this for document creation Apple doesnt provide any kind of word processor (such as works for windows), but iwork is cheap compared to office.",windows,1
" Worse, for the price I could get a *netbook* that outperforms this machine.",price,0
"I also purchased iWork to go with it which has programs for word processing, spreadsheets, and presentations (similar to Microsoft Office).",iWork,1
"Mine came at $1,700 w/o a DVD burner (!).",DVD burner,0
"In addition, all the design tools on Pages and Keynotes makes it much easier to create professional looking documents and presentations.",Keynotes,2
The battery has never worked well.,battery,0
"I took it in to the Apple store and guess what? They fixed it, no cost out of pocket.",cost,0
"A coupla months later, they change my hard drive.",hard drive,0
the only fact i dont like about apples is they generally use safari and i dont use safari but after i install Mozzilla firfox i love every single bit about it.,Mozzilla firfox,2
"Ever since I bought this laptop, so far I've experience nothing but constant break downs of the laptop and bad customer services I received over the phone with toshiba customer services hotlines.",customer services,0
"I run windows via bootcamp for the couple programs I do not want to buy a mac version of, like my cad programs.",programs,1
"I run Dreamweaver, Final Cut Pro 7, Photoshop, Safari, Firefox, MSN Messenger and a few other applications constantly at the same time.",applications,1
"The battery life was supposed to be 6 hours, but even if I ran off the battery with the high effeciency setting the battery would only last me on average about 2.5 to 3 hours.",battery life,0
"Size: I know 13 is small (especially for a desktop replacement) but with an external monitor, who cares.",Size,0
"For the Bluetooth to work properly, you must install the Launch Manager on the Drivers/Applications DVD, or it will not show after the reload.",Launch Manager,1
"So what am I supposed to do?  The LG service center cannot provide me the ""service"" when it is called the ""service center"".",service center,0
Battery is lasting about 6 hours as I am surfing the web on Sundays while checking football scores and watching funny Youtube videos.,Battery,1
"After talking it over with the very knowledgeable sales associate, I chose the MacBook Pro over the white MacBook.",sales associate,2
THE MOTHERBOARD IS DEAD !,MOTHERBOARD,0
"I run Dreamweaver, Final Cut Pro 7, Photoshop, Safari, Firefox, MSN Messenger and a few other applications constantly at the same time.",Final Cut Pro 7,1
"you can find many laptops with the same performance and even better with lower price, but you cannot find the look, easy, applications, and the experience in mac.",applications,2
"Great Laptop for the price, works well with action pack games.",works,2
I love WIndows 7 which is a vast improvment over Vista.,Vista,0
"Screen is awesome, battery life is good.",Screen,2
The online tutorial videos make it super easy to learn if you have always used a PC.,online tutorial videos,2
"The programs are great, like iphoto (love the editing capabilities), imail (which can incorporate with the address book on the ipod and ipad), imovie, etc.",programs,2
"the headphone and mic jack are in front of touch-pad making the touch-pad hard to use when using headphones/mic, not to mention the laptop was designed for right handed person.",mic,0
I took it back for an Asus and same thing- blue screen which required me to remove the battery to reset.,battery,1
The OS takes some getting used to especially after being a Windows user for so long but the learning curve is so worth it!,Windows,1
"The display on this computer is the best I've seen in a very long time, the battery life is very long and very convienent.",battery life,2
"Finally, the biggest problem has been tech support.",tech support,0
"The difference in the Apple keyboard from a PC's keyboard took a bit of tim to get used to, but overall it's worth it!",PC's keyboard,1
I had purchased it from a major electronics store and took it to their service department to find out what the problem was.,service department,1
Again in February my computer completely failed to the point that it could not load Windows so I contacted Acer to get it fixed thru my Warrenty and it took about 3 days fighting on the phone with agents and it seemed as though NONE of them spoke English.,agents,0
i needed one to be able to carry to work everyday and this one seems to fit all of the criteria.,carry,1
iLife is easily compatible with Microsoft Office so you can send and receive files from a PC.,iLife,2
"It's fast, it's easy easy easy to set up, easy to hook to my wireless network.",hook to my wireless network,2
"Everything is so easy to use, Mac software is just so much simpler than Microsoft software.",Mac software,2
"The tech store I purchased this from sent it back,,,,,eventually I got a new or repaired machine approximately 3 weeks later.",tech store,0
Typing on the keyboard becomes uncomfortable after extended use due to the sharp edges that your wrists rest on.,edges,0
i also love having the extra calculator number set up on the keyboard which most laptops do not have.,keyboard,2
Then after 4 or so months the charger stopped working so I was forced to go out and buy new hardware just to keep this computer running.,hardware,0
"So, the hard disk capacity really doesn't matter to me.",hard disk capacity,1
Moral of the story:-Do not buy anything from companies that do not respect their customers.,companies,0
It drives me crazy when I want to download a game or something of that nature and I can't play it because its not compatable with the software.,software,0
"We love the size of the screen, although it is still lightweight and very easy to tote around.",tote,2
"I think the manual is somewhere on the hard drive, but I rather have a hard copy.",manual,1
"Laptops are usually used on the go, so why not give you a better battery?",battery,0
The battery doesn't last long but I'm sure an upgrade battery would solve that problem.,battery,0
"I paid for extra memory and the 17-inch screen, as well as the top of the line DVD and CD burners.",memory,1
"EITHER WAY, THE KEYBOARD IS UNSATISFACTORY.",KEYBOARD,0
"I just plug this into my 22"" Monitor and the speedy MacOSX performs just as well on this dual-core that my Dell did with Windows 7 with a quad-core.",dual-core,1
" And at one point, they blame me for installing a bad memory stick when I upgrade my memory for the first time during my purchase of the laptop (I bought the memory stick they recomended).",memory,1
But guess what?  (you have to buy an external dvd drive it doesn't have a built in type) The notebook can't be used because it doesn't read anything for an external drive.,external drive,0
"Granted, it's still a very new laptop but in comparison to my previous laptops and desktops, my Mac boots up noticeably quicker.",boots up,2
super fast processor and really nice graphics card..,graphics card,2
"Also, the space bar makes a noisy click every time you use it.",space bar,0
"Bigger HD, better graphics card, and a bid HD.",graphics card,2
"But sitting on a lap or on a desk in front of you it looks more than big enough (this could be because Im used to my Lenovo 10 tablet now) plus this is a great size if I want to unplug the external keyboard, mouse, and monitor to take it with me when I take photos and video.",mouse,1
The computer was shipped to their repair depot on june 24 and returned on July 2 seems like a short turn around time except the computer was not repaired when it was returned.,repair depot,1
"Speaking of the browser, it too has problems.",browser,0
The Toshiba laptop I am using is easier to use than most I have tried.,use,2
"The Mac Snow Leopard O/S is extremely easy to use, although very different than Win XP, Visa or Win7.",Visa,1
) I also tried the touch pad and compared it to other netbooks in the store.,touch pad,1
"I love the easy to see screen, and It works well for work, persoal or just play.",screen,2
"Most everything is fine with this machine: speed, capacity, build.",capacity,2
"It has far exceeded my expectations for power, storage, and abilitiy.",abilitiy,2
"The Macbook is also made better, my computer has never got a virus, and the laptop runs just as fast as the first day I bought it.",runs,2
Its good for playing my apps on Facebook or watching movies.,watching movies,2
"I saw walmart had the same computer for about $650 but still knowing what I know now,I would not buy it at that price.",price,0
but it  has a major design flaw.,design,0
Nightly my computer defrags itself and runs a virus scan.,virus scan,1
I love the way the entire suite of software works together.,suite of software,2
So having the AC plug go out on me and get lose or I could actually here it inside my computer on two of the three times is not good.,AC plug,0
It was truly a great computer costing less than one thousand bucks before tax.,costing,2
Also kinda loud when the fan was running.,fan,0
I will never go back to Windows!,Windows,0
Processor - When compared to my 3 week old Early 2011 edition there I barely experience any difference in performance (2.3 GHz v/s 2.4 GHz).,Processor,1
You will need them if you want to reload the OS (I recommend doing if you can to start fresh and optimal).,OS,1
Now when I order I did not go full scale for the webcam or full keyboard I wanted something for basics of being easy to carry when I use crutchs or wheelchair and with a backpack laptop bag.,webcam,1
Comes with iMovie;,iMovie,2
The fact that you can spend over $100 on just a webcam underscores the value of this machine.,webcam,1
You can even run a parallels type program easily and run any leftover PC software that you absolutely cannot be without.,parallels type program,2
Somehow the system clock got messed up after reboot.,system clock,0
"Theres also iDVD, a program dedicated to putting all your favorite media together- photos, recordings, video projects into one program so that you can create the perfect memoir for your parents, family, siblings, and any other person important in your life that there may be.",iDVD,2
"Besides the great look, it is a great machine.",look,2
"Its Office compatible, but the features and its functioning is all new again so you might as well save the money and just learn the pre installed mac programs.",functioning,1
The only downfall is the volume control.,volume control,0
the mcbook pro notebook will make it easy for you to write and read your emails at blazing speeds.,speeds,2
I wanted something that had a new Intel Core processors and HDMI port so that we could hook it up directly to our TV.,HDMI port,1
"After a little more than a year of owning my MacBook Pro, the monitor has completely died.",monitor,0
the only fact i dont like about apples is they generally use safari and i dont use safari but after i install Mozzilla firfox i love every single bit about it.,safari,0
The start menu is not the easiest thing to navigate due to the stacking.,navigate,0
Has a 5-6 hour battery life.,battery life,1
There is hardly any memory on the computer's hard drive.,memory,0
"The Mac Snow Leopard O/S is extremely easy to use, although very different than Win XP, Visa or Win7.",Win XP,1
"I picked it out because it was inexpensive ($400) and I thought it would be a good, easy to use first laptop.",use,2
It is easy to operate and I have already ordered more software and gadgets for my new Rolls Royce of laptops.,gadgets,1
"My only disappointment with the 13"" model is that they're the only ones in the MacBook Pro line up without an i5 or i7 processor and dual graphics cards, however the trade-off is that you achieve a longer battery life (of about 2 more hours).",processor,0
"Not too much ""junk"" software to remove.",software,2
Boots up fast and runs great!,runs,2
"After a couple of years, my battery life began to diminish but was replaced for free due to a company-wide recall of my particular battery.",battery,0
"It is so simple to use, I use it more than my desktop.",use,2
The battery life was shorter than expected.,battery life,0
" I definitely suggest getting an extended warranty, you will probably need it!",extended warranty,2
then on top of it all their cusromer service center is in the middle east.,cusromer service center,0
"you can find many laptops with the same performance and even better with lower price, but you cannot find the look, easy, applications, and the experience in mac.",look,2
"-4 RAM slots, 2 HDD Bays*, 16GB RAM support -No Wireless Issues, at least for me.",RAM slots,1
This is great if you have several lectures back to back and don't have a chance to charge during one of the lectures.,charge,2
It's priced very reasonable and works very well right out of the box.,works,2
"The Apple applications (ex.iPhoto) are fun, easy, and really cool to use (unlike the competition)!",iPhoto,2
"Programs would crash all the time, and it turned out to be a very unstable, unreliable laptop for me.",Programs,0
"Windows 7 Starter is terrific (no you can't change the background) but I don't need to, I use it just for school work.",Windows 7 Starter,2
It weighed like seven pounds or something like that.,weighed,1
"There is a small red circle next to it with a x in the middle, and when I click on it it says: "" Consider replacing your battery"" and it does not hold full charge.",charge,0
 I will definitely be getting a new laptop if it has any more issues after the warranty expires and researching carefully when I do so I don't run accross a situation like this again!,warranty,1
the graphics are awful and the wireless switch it at the top rather than the side which I am used to it being on the side.,wireless switch,0
"cosmetically, the only thing they changed was 2 of the Function keys at the top.",Function keys,1
"I also got the added bonus of a 30"" HD Monitor, which really helps to extend my screen and keep my eyes fresh!","30"" HD Monitor",2
"Then HP sends it back to me with the hardware screwed up, not able to connect.",hardware,0
"Great battery, speed, display.",battery,2
Microsoft word was not on it andI had to buy it seperately.,Microsoft word,0
"The screen is huge and coloful, but no LED backlighting.",screen,2
Runs fast and the regular layout keyboard is so much better.,Runs,2
"Compared to similarly spec'd PCs, this machine is good value, well built and works easily right out of the box.",built,2
keys are all in weird places and is way too large for the way it is designed.,keys,0
Mac is not made for gaming.,gaming,0
I wasn't a big fan of the Netbooks but this one was very well designed.,designed,2
"It has many great programs, such as ILife, iPhotos and others.",programs,2
"Have had many higher priced computers crash and burn long before ever got to use all that great memory and speed, etc.",priced,0
" I sent it back and found this time that the battery was faulty, so I got a new one and some other fixes they found.",battery,0
"A cheaper price should not equal a ""cheap"" product.",price,2
the laptop preformed pretty well.,preformed,2
"Not to mention, the battery life is absolutely amazing.",battery life,2
I had something else go wrong and they said it had to be in good working order to be able to buy the warranty.,warranty,0
"Great OS, fabulous improvements to the existing line bumping up the processor speed and adding the thunderbolt port.",processor speed,2
"I would definitely reccomend this if you are in the market for an easy to use, stylish, fun, awesome computer.",use,2
They have developed excellent proprietary software for editing video and pictures and I'm looking forward to utilizing these tools on the regular.,proprietary software,2
Then after 4 or so months the charger stopped working so I was forced to go out and buy new hardware just to keep this computer running.,hardware,0
"Graphics are clean and sharp, internet interfaces are seamless.",internet interfaces,2
It is easy to operate and I have already ordered more software and gadgets for my new Rolls Royce of laptops.,software,1
Not even safe mode boots.,safe mode,0
It was hard to handle and operate at school.,handle,0
power supply went bad after 2 weeks --,power supply,0
"But, buy this model and just purchase 4GB of RAM (2x2GB for $92 or 1x4GB for $99), and save yourself $100 than the other model with 8GB of RAM.",8GB of RAM,1
( The iBook backup also uses a firewire connection).,iBook backup,1
"Externally the keys on my keyboard are falling off, after a few uses the paint is rubbing off the button below the mouse pad and where the heals of my hands sit, and the screen has a terrible glare.",paint,0
"I also purchased iWork to go with it which has programs for word processing, spreadsheets, and presentations (similar to Microsoft Office).",presentations,1
It could be a perfect laptop if it would have faster system memory and its radeon 5850 would have DDR5 instead of DDR3.,radeon 5850,0
"There are several programs for school or office use (Pages, Numbers, Keynote, etc.), music (Garageband), photo management (Photo Booth, iPhoto), video-editing or movie-making (iMovie), etc.",Numbers,1
I can't say enough of how satisfied I am with their product and help aftermarket.,product and help aftermarket,2
"Overall I feel this netbook was poor quality, had poor performance, although it did have great battery life when it did work.",performance,0
"There are several programs for school or office use (Pages, Numbers, Keynote, etc.), music (Garageband), photo management (Photo Booth, iPhoto), video-editing or movie-making (iMovie), etc.",photo management,1
"The speed difference is next to NOTHING for a mac, and the hard drive can be manually upgraded or you could just buy a $60 500gb external hard drive.",hard drive,1
"So, I took it back to the apple store and they narcissist genius bar staff) fixed it by resetting the fan at boot up.",genius bar staff),0
Again in February my computer completely failed to the point that it could not load Windows so I contacted Acer to get it fixed thru my Warrenty and it took about 3 days fighting on the phone with agents and it seemed as though NONE of them spoke English.,Windows,1
YOU WILL NOT BE ABLE TO TALK TO AN AMERICAN WARRANTY SERVICE IS OUT OF COUNTRY.,WARRANTY SERVICE,0
"I also purchased iWork to go with it which has programs for word processing, spreadsheets, and presentations (similar to Microsoft Office).",spreadsheets,1
I reinstalled windows through the recovery discs and everything seemed good again.,windows,2
"I even got my teenage son one, because of the features that it offers, like, iChat, Photobooth, garage band and more!",features,2
To be honest i think it was faulty equipment or something but idk.,equipment,0
"There are several programs for school or office use (Pages, Numbers, Keynote, etc.), music (Garageband), photo management (Photo Booth, iPhoto), video-editing or movie-making (iMovie), etc.",programs,1
The DVD burner broke after burning 3 DVD'd during that time!,DVD burner,0
"I am not much of a computer techie, so I can understand some ofthe internal problems, though I do have trend micro as an antiviral program.",trend micro,1
"All of the programs (Keynote, Pages, Numbers) have an option to save your documents as Microsoft compatible, which really eliminates the need for the actual.",programs,2
It did not have all the features I expected it to have.,features,0
Hard disk - The new editions gives you more hard disk space (500GB instead of 320GB) but time has taught me never to trust an internal hard disk.,hard disk space,2
"I'ts nice to have the higher-end laptops, but this fits my budget and the features I need.",budget,2
but now i have realized its a problem with this brand.,brand,0
"The OS is also very user friendly, even for those that switch from a PC, with a little practice you can take full advantage of this OS!",OS,2
You may need to special order a bag.,bag,1
"Even with virus protection, it always turned off when updates were needed and installed.",updates,0
It's software and speed enable it to do amazing things.,speed,2
Battery life could be better but overall for the price and Toshiba's reputation for laptops it's great!,price,2
"Eventually my battery wouldn't charge, so unless I had it plugged in it wouldn't even power on.",battery,0
I also like the acer arcade but these were reallythe only two things I liked about this laptop.,acer arcade,2
"The leather carrying case, keyboard and mouse arrived in two days from Memphis warehouse.",mouse,1
My first problem was with the pre-loaded Norton Firewall/Security program.,pre-loaded Norton Firewall/Security program,0
"I dislike the weight and size, cubersome.",size,0
in 5 months the connect quality got worse and worse.,connect quality,0
"(I had been a Windows/Linux user before this) I love the size because the screen is big enough for what I use it for (Internet, artwork), and yet it is small enough to be reasonably portable.",screen,2
" Another THREE weeks later I had my laptop back with a new mousepad, keys, and casing.",keys,1
We figure that after everything HIS pc actually ended up costing $350 more than my original Mac.,costing,0
"There is a small red circle next to it with a x in the middle, and when I click on it it says: "" Consider replacing your battery"" and it does not hold full charge.",battery,1
"Only other thing is that if you are using this for document creation Apple doesnt provide any kind of word processor (such as works for windows), but iwork is cheap compared to office.",document creation,1
can't reinstall with standard os cd because of proprietary hardware drivers.,proprietary hardware drivers,0
"The processor screams, and because of the unique way that Apple OSX 16 functions, most of the graphics are routed through the hardware rather than the software.",graphics,2
"Sure, the initial out of pocket expense is greater, but that should not dissuade anyone from the fact that these machines run like none other on the planet, and when I factor in all the money in that I wasted on Geek Squad and the latest patches to de-corrupt my infested PCs, it probably comes out about even anyhow.",expense,0
I had to pay $100 for a universal charger for this cheap $300 laptop.,universal charger,0
" Now I had not tried to use this since the disc drive had been replaced and after taking it back to the Geek Squad I found out they had accidently not used the right drive when they replaced the first one, so back it went to get the correct drive.",disc drive,0
"Before, I reloaded with Windows 7 Ultimate and used only the downloaded drivers from Acer's site.",drivers,1
"The only thing I don't understand is that the resolution of the screen isn't high enough for some pages, such as Yahoo!Mail.",resolution of the screen,0
 This time the mouse pad and right click key wouldn't work!,right click key,0
"My daughter uses it for games, email, facebook, pictures and music.",games,1
He has replaced his hard drive twice and (of course) has had to pay for antivirus software every year.,hard drive,0
"When I called Toshiba, they would not do anything and even tried to charge me $35 for the phone call, even though they didn't offer any technical support.",technical support,0
"I bought it from HSN because it was ""bundled"" with extra software, but as it turns out, that software just crashes it more often.....",software,0
10 plus hours of battery...,battery,2
"Everything is so easy to use, Mac software is just so much simpler than Microsoft software.",use,2
"The battery life sucked the juice from my laptop and when the extended life battery went out we were SOL there to, so much for that warranty covering all the products we purchased.",battery life,0
"I have Vista, so I am unable to install and uninstall some programs.",Vista,0
"One more tip, please purchase this model and get a 4GB stick of RAM to save you $10",4GB stick of RAM,2
"In desparation, I called their Customer Service number and was told that my warranty had expired (2 days old) and that the priviledge of talking to a technician would cost me (""have your credit card ready"").",talking to a technician,0
"Was disappointed to find out that the model had been discontinued, apparently because of known motherboard problems.",motherboard,0
"it is of high quality, has a killer GUI, is extremely stable, is highly expandable, is bundled with lots of very good applications, is easy to use, and is absolutely gorgeous.",quality,2
" It gets stuck all of the time you use it, and you have to keep tapping on it to get it to work.",work,0
Battery is not upgradable to a longer life battery.,Battery,0
" The battery never held a charge longer than one hour and within two months, stopped holding a charge for more than ten minutes.",charge,0
"I wiped nearly everything off of it, installed OpenOffice and Firefox, and I am operating an incredibly efficient and useful machine for a great price.",Firefox,1
" The hard drive crashed as well, and I had to buy a new  power cord.",power cord,0
Ease of use is just one of the benefits I love about my Mac.,use,2
"Only other thing is that if you are using this for document creation Apple doesnt provide any kind of word processor (such as works for windows), but iwork is cheap compared to office.",word processor,0
"The feel of this is better than the Toshiba, too.",feel,2
The AC power port becomes loose over time,AC power port,0
"I am most impressed with the programming, including the iPhoto.",iPhoto,2
"The display on this computer is the best I've seen in a very long time, the battery life is very long and very convienent.",display,2
It is in the best condition and has a really high quality.,quality,2
I am forever changed and will no longer buy a Windows based machine for personal use.,Windows,0
The Toshiba Net book operates very well.,operates,2
"I was originally concerned that I couldn't view work I had done in college on my Mac because of the PC formatting, but I was even more thrilled to learn of programs like iLife and iWork that allow you to convert your PC documents into readable files on Macs.",programs,2
"WIth the upgraded memory, the MacBook Pro never has an issue running many many applications at once!",applications,1
This is a nicely sized laptop with lots of processing power and long battery life.,processing power,2
 Sometimes the screen even goes black on this computer.,screen,0
It's so bad that I'm thinking I only got half a battery or something.,battery,0
Oh and if thats not bad enough it doesn't come with a recovery cd so you can make one if you know how to or buy one if you buy it the cost is $25 for two cds.,recovery cd,0
"I upgraded the memory and replaced the base Windows 7 Starter to Win 7 Home, and it runs just fine.",Win 7 Home,1
Drivers updated ok but the BIOS update froze the system up and the computer shut down.,BIOS update,0
"-4 RAM slots, 2 HDD Bays*, 16GB RAM support -No Wireless Issues, at least for me.",16GB RAM support,1
"Still under warrenty so called Toshiba, no help at all.",warrenty,0
 There's literally no way to make it sing with Vista.,Vista,0
"They went through asking me open up various components, taking battery out, hard disk apart, and after 2 hours on phone could not fix it.",battery,1
With Windows laptops a wireless mouse is an absolute must.,wireless mouse,1
"Whenever tried to turn it on, it would restart as soon as the BIOS launched Windows (or Winblows, as I like ot call it).",BIOS,0
I recommend for word processing and internet users.,internet,2
There is nothing to complain about the system.,system,2
"Am very glad I bought it, great netbook, low price.",price,2
i love the size of the computer since i play games on it.,size,2
"it has 3 usb ports, 1 sd memory card reader and an sd memory car expansion.",sd memory card reader,1
Supplied software: The software that comes with this machine is greatly welcomed compared to what Windows comes with.,software,2
"It's so much easier to navigate through the operating system, to find files, and it runs a lot faster!",navigate,2
The OS is still as fast as the day that the laptop was purchased and continues to run flawlessly.,run,2
"Screen, keyboard, and mouse: If you cant see yourself spending the extra money to jump up to a Mac the beautiful screen, responsive island backlit keyboard, and fun multi-touch mouse is worth the extra money to me alone.",multi-touch mouse,2
"The ATI graphics card is a huge plus, definitely a good value if you need to be able to run some slightly older games that a Intel built-in card would have trouble with, such as Half-Life 2 or even World of Warcraft.",games,1
Now the machine won't connect and Toshiba says that they did replace the connection card in May but they only warranty the repair for 30 days and now I'm out of warranty even though this has been a constant 5 month occurance since I bought the netbook.,connection card,1
The software is amazing.,software,2
I was taught to use Photoshop and was amazed.,Photoshop,2
The internet capabilities are also very strong and picks up signals very easily.,internet capabilities,2
"I was looking too closely at the other performance specs and while comparing, I took it for granted that these features were standard.",performance specs,1
"company provides UPS shipping, fast, great!",shipping,2
Was searching online for a power supply when I found this site.,power supply,1
"The battery life was supposed to be 6 hours, but even if I ran off the battery with the high effeciency setting the battery would only last me on average about 2.5 to 3 hours.",battery,0
"They said that my computer was covered on an extended warranty, and that products with extended warranties are taken care of through third parties and not Sony itself anymore.",extended warranty,1
"The computer runs very fast with no problems and the iLife software that comes with it (iPhoto, iMovie, iWeb, iTunes, GarageBand) is all very helpful as well.",iPhoto,2
"Great battery, speed, display.",speed,2
"Laptop is advertised as a 15"" but the casing looks like that of a 17"".","15""",1
For the [$] price (special offer) this is a great laptop.,price,2
I also had a problem with the touchpad that caused the mouse pointer to jump all over the screen.,mouse pointer,0
I have to keep turning it until it decides to lower and there is no mute.,mute,0
"The pro is a great product, I wish that the 13 inch models came with the Intel i processors and had a more comfortable edge (the edges hurt my wrists).",edges,0
"Love the graphics, awesome programs (including Garageband), and really cool default background.",graphics,2
Additional caveat: the base installation comes with some Toshiba-specific software that may or may not be to a user's liking.,software,0
Clear picture on it and everything.,picture,2
Also the display is exceptional!,display,2
 since theni have had minor problems with slow operation.,operation,0
"I wanted to purchase the extended warranty and they refused, because they knew it was trouble.",extended warranty,1
little short on RAM but you get what you pay for.,RAM,0
Strengths:Well-shaped Weaknesses:A bad videocard!,shaped,2
I am enjoying it and the quality it provides is great!,quality,2
The Material this Pro is made out of seems a lot nicer than any PC  Specs: Like I said this performs a lot better than any computer I've had in the past.,performs,2
There was a little difficulty doing the migration as the firewire cable system can't be used with the iBook.,iBook,1
"I was loving this Netbook because it had an amazing screen and display and was small and light, but after 1 week it stopped openning web pages for me (even after installing new browsers) then eventually it just started giving me a blue screen and crashing everytime I booted it.",browsers,1
" Then I've fixed the DC jack (inside the unit), rewired the DC jack to the OUTside of the laptop, replaced the power brick.",power brick,1
"All the things you can do with the trackpad make navigating around the computer and its programs so much simpler, quicker, and easier.",programs,2
lots of preloaded software.,preloaded software,2
"We also use Paralles so we can run virtual machines of Windows XP Professional, Windows 7 Home Premium, Windows Server Enterprise 2003, and Windows Server 2008 Enterprise.",Windows Server 2008 Enterprise,1
"Startup in about 30 seconds, shutdown in 2-4 seconds, resume from sleep in 0-2 seconds.",resume from sleep,1
"I have had to call with a few questions or issues and they have helped me for free, even without the warranty.",warranty,1
"Some features arent friendly ( volume wheel, sound quality, etc.",sound quality,0
Cords coming out the right for power plus cords coming out front for headphones/mic plus network connection on left make for a very messy setup with cords going every direction.,mic,0
My problem was with DELL Customer Service.,DELL Customer Service,0
Right size and weight for portability.,size,2
iLife is easily compatible with Microsoft Office so you can send and receive files from a PC.,Microsoft Office,1
"Though the picture, video, and music software is nowhere close to professional grade software Im used to (CS5) but does the job for beginner and even intermediate media designers.",music software,0
"I love this program, it is superior to windows movie maker.",windows movie maker,0
"As a computer science student in college, I find that the portability, longevity, and ease of use of this computer make me (shockingly) want to do homework more;",use,2
I'm already hooked on the sleek look and dependability that this laptop has shown.,dependability,2
"I love the solid machined aluminum frame, and the keyboard is the best of any laptop I've used.",machined aluminum frame,2
" I was told by many  that it was a great computer, but we got one of these, and it worked  great for one year, and as soon as the warrenty was up, then it got  really bad.",warrenty,0
My favorite part of this computer is that it has a vga port so I can connect it to a bigger screen.,screen,1
"The flaws are, this computer is not for computer gamers because of the OS X.",OS X,0
Sure it has the one touch keys but that was the best feature of the computer.,one touch keys,2
OS X is solid with lots of innovations such as quicklook which save heaps of time.,quicklook,2
overall i would recomend this to anybody and tell them that if they want to burn their music or play there video games to buy the cd drive.,video games,1
Many of my classmates computers hard drives crashed.,hard drives,0
Support has been lackluster and now I just want a refund.,Support,0
"-Bluetooth (2.1), Fingerprint Reader, Full 1920x1080 screen -Integrated Mic/Webcam* -Dual touchpad mode is interesting, and easy to use -5 USB ports -Runs about 38-41C on idle, Up to 65 (for me) on load -Very quiet -I could go on and on.",USB ports,1
"I had a USB connect but, i can't use it because it is not compatible.",USB connect,0
"the features are great, the only thing it needs is better speakers.",features,2
"It absolutely is more expensive than most PC laptops, but the ease of use, security, and minimal problems that have arisen make it well worth the pricetag.",use,2
Processor - When compared to my 3 week old Early 2011 edition there I barely experience any difference in performance (2.3 GHz v/s 2.4 GHz).,performance,1
"So, I paid a visit to LG notebook service center at Alexandra Road, hoping they can make the hinge tighter.",hinge,0
"Aside from the trial software and the short battery life, lack of a webcam, its great.",battery life,0
I know what 7 hrs of battery looks like.,battery,2
"The best thing to do is build your own computer, but if u can't company's like dell who allow you to choose the components are better and for the same price you can get a computer who compares to one of apple $2000 systems and if you google ""dell coupons"" you can find codes that take a signifant amount off the price.",price,2
"It has a 10 hour battery life when you're doing web browsing and word editing, making it perfect for the classroom or office, and in terms of gaming and movie playing it'll have a battery life of just over 5 hours.",battery life,2
"The Macbook arrived in a nice twin packing and sealed in the box, all the functions works great.",twin packing,2
Later it held zero charge and its replacement worked for less than three months.,charge,0
"Took me 11 hours, 3 trips to different FedEx offices, and brutal conversations with 14 of the worse IT support technicians in the world.",IT support technicians,0
The graphics on this computer are also stellar - very clear and vivid.,graphics,2
"One night I turned the freaking thing off after using it, the next day I turn it on, no GUI, screen all dark, power light steady, hard drive light steady and not flashing as it usually does.",hard drive ligh,0
-Touchpad will take a bit of time to get used to.,Touchpad,1
"Overall : Poor, Features: Average, Performance: Poor, Battery Life: Excellent, Price-Value: Poor",Price,0
I sent it back to Toshiba twice they covered it under the  warranty.,warranty,2
I purchased a Toshiba Satellite M60 (with harman/kardon speakers!) in December of 2005.,speakers,2
